titulo
"Lejos de la multitud"
"La montaña mágica"
"Moby Dick"
Ensayos
"La historia"
Beloved
"Genji Monogatari"
"El hombre sin atributos"
Lolita
1984
"Las metamorfosis"
"Libro del desasosiego"
Cuentos
"En busca del tiempo perdido"
"Gargantúa y Pantagruel"
"Pedro Páramo"
Mathnawi
"Hijos de la medianoche"
Bostan
"Tiempo de migrar al norte"
"Ensayo sobre la ceguera"
Hamlet
"El rey Lear"
Otelo
"Edipo rey"
"Rojo y negro"
"Vida y opiniones del caballero Tristram Shandy"
"La conciencia de Zeno"
"Los viajes de Gulliver"
"Guerra y paz"
"Ana Karenina"
"La muerte de Iván Ilich"
"Las aventuras de Huckleberry Finn"
Ramayana
Ulises
"Retrato del artista adolescente"
"El gran Gatsby"
"Trampa 22"
"El cero y el infinito"
"Hijos y amantes"
"Las uvas de la ira"
"La metamorfosis"
"El proceso"
"El castillo"
Shakuntala
"Zorba, el griego"
"El ruido y la furia"
"¡Absalom, Absalom!"
"Madame Bovary"
"La educación sentimental"
"Romancero gitano"
"Cien años de soledad"
"El amor en los tiempos del cólera"
Fausto
"Almas muertas"
"El tambor de hojalata"
"Gran Sertón: Veredas"
Hambre
"El viejo y el mar"
"Ilíada"
Odisea
"Casa de muñecas"
"Relatos cortos"
"La divina comedia"
"Orgullo y prejuicio"
"Papá Goriot"
